id,image_id,category_id,bbox,segmentation,area,file_name,width,height,attributes
70,6,4,"[10.049896240234375, 2.2703590393066406, 120.05476379394531, 95.80693054199219]",[],11502.078416041797,1634018410921_Imported Bar chair  stool 319 for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
71,6,33,"[63.80669021606445, 4.914112091064453, 75.08680725097656, 72.77203369140625]",[],5464.2196670481935,1634018410921_Imported Bar chair  stool 319 for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
72,6,1,"[26.32049560546875, 0.0, 95.9404296875, 99.45829772949219]",[],9542.071820154786,1634018410921_Imported Bar chair  stool 319 for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
73,6,43,"[47.92805862426758, 19.455711364746094, 43.86296463012695, 84.7351303100586]",[],3716.7340237192984,1634018410921_Imported Bar chair  stool 319 for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
74,6,73,"[30.93796730041504, 3.707559823989868, 99.89778900146484, 74.30846405029297]",[],7423.251262719103,1634018410921_Imported Bar chair  stool 319 for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
75,6,62,"[78.37678527832031, 69.47394561767578, 63.358612060546875, 35.59880065917969]",[],2255.490600785706,1634018410921_Imported Bar chair  stool 319 for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
76,6,17,"[34.519779205322266, 8.416357040405273, 61.52108383178711, 83.7802734375]",[],5154.253225598484,1634018410921_Imported Bar chair  stool 319 for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
77,6,74,"[26.472970962524414, 2.7378745079040527, 85.4752197265625, 55.22391891479492]",[],4720.276603403967,1634018410921_Imported Bar chair  stool 319 for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
78,6,89,"[28.87388038635254, 0.5376271605491638, 75.83751678466797, 55.361209869384766]",[],4198.456682688993,1634018410921_Imported Bar chair  stool 319 for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
79,6,62,"[0.8466164469718933, 61.10144805908203, 93.46704864501953, 44.05409240722656]",[],4117.605998038431,1634018410921_Imported Bar chair  stool 319 for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
80,6,47,"[42.184852600097656, 19.0456600189209, 50.119873046875, 56.31047058105469]",[],2822.2736367322505,1634018410921_Imported Bar chair  stool 319 for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
81,6,81,"[36.910579681396484, 17.82790756225586, 58.45553207397461, 42.906734466552734]",[],2508.135992799085,1634018410921_Imported Bar chair  stool 319 for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
82,6,33,"[62.69853210449219, 1.6649171113967896, 45.10673522949219, 59.67353820800781]",[],2691.678488155594,1634018410921_Imported Bar chair  stool 319 for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
83,7,67,"[1.7320250272750854, 72.3583984375, 33.01753616333008, 32.716896057128906]",[],1080.231298718165,1634019664145_New 6x3 cupboard for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
84,7,67,"[5.068668842315674, 69.56242370605469, 54.019859313964844, 35.8460693359375]",[],1936.399622485973,1634019664145_New 6x3 cupboard for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
85,7,62,"[0.8154885768890381, 71.30155944824219, 33.37277603149414, 34.617759704589844]",[],1155.2907413333596,1634019664145_New 6x3 cupboard for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
86,7,15,"[1.3394056558609009, 69.32926940917969, 33.033111572265625, 36.14027404785156]",[],1193.8257048749365,1634019664145_New 6x3 cupboard for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
87,7,33,"[45.0599250793457, 25.2132511138916, 20.214969635009766, 13.240480422973633]",[],267.65590970335325,1634019664145_New 6x3 cupboard for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
88,7,79,"[40.698150634765625, 40.63216781616211, 30.672752380371094, 49.37189865112305]",[],1514.3720218746748,1634019664145_New 6x3 cupboard for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
89,7,72,"[45.220497131347656, 25.127593994140625, 20.64099884033203, 13.386703491210938]",[],276.3149312379537,1634019664145_New 6x3 cupboard for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
90,7,81,"[41.63301086425781, 35.03382110595703, 28.159805297851562, 22.213703155517578]",[],625.5335558036459,1634019664145_New 6x3 cupboard for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
91,8,82,"[7.024772644042969, 7.509313106536865, 108.34638214111328, 96.8747329711914]",[],10496.02683831501,1634022491539_03pcs Melamine Box Cupboards for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
92,8,86,"[91.16490936279297, 12.78496265411377, 29.458709716796875, 94.12963104248047]",[],2772.937476629624,1634022491539_03pcs Melamine Box Cupboards for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
93,8,7,"[0.0, 9.619685173034668, 30.785606384277344, 84.7540512084961]",[],2609.2048599776463,1634022491539_03pcs Melamine Box Cupboards for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
94,8,79,"[0.27589789032936096, 12.35989761352539, 14.833456993103027, 65.0487060546875]",[],964.8971837192075,1634022491539_03pcs Melamine Box Cupboards for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
95,8,79,"[0.5335519909858704, 9.491722106933594, 25.523231506347656, 83.04718780517578]",[],2119.6326003026334,1634022491539_03pcs Melamine Box Cupboards for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
96,8,7,"[1.982997179031372, 9.637879371643066, 60.92726135253906, 91.42514038085938]",[],5570.283422177192,1634022491539_03pcs Melamine Box Cupboards for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
97,8,82,"[0.4410291910171509, 10.884355545043945, 25.65066146850586, 84.05007934570312]",[],2155.9401316976873,1634022491539_03pcs Melamine Box Cupboards for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
98,8,82,"[62.49140930175781, 18.2325496673584, 57.774269104003906, 86.82634735107422]",[],5016.328757178679,1634022491539_03pcs Melamine Box Cupboards for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
99,8,81,"[49.53418731689453, 16.741533279418945, 29.844314575195312, 3.5882625579833984]",[],107.08923655885155,1634022491539_03pcs Melamine Box Cupboards for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
100,8,84,"[1.6274452209472656, 20.333946228027344, 18.64350128173828, 51.42009735107422]",[],958.6506508718594,1634022491539_03pcs Melamine Box Cupboards for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
101,8,67,"[0.0, 78.04008483886719, 21.49825668334961, 28.551048278808594]",[],613.7977644765342,1634022491539_03pcs Melamine Box Cupboards for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
102,8,78,"[0.3763790428638458, 14.351405143737793, 14.710687637329102, 61.880123138427734]",[],910.2991624488714,1634022491539_03pcs Melamine Box Cupboards for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
103,8,79,"[4.982466697692871, 7.751004219055176, 112.65869903564453, 94.27975463867188]",[],10621.434502992546,1634022491539_03pcs Melamine Box Cupboards for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
104,8,72,"[0.13221757113933563, 7.901424407958984, 15.043694496154785, 69.66383361816406]",[],1048.0014303826174,1634022491539_03pcs Melamine Box Cupboards for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
105,8,78,"[0.6914856433868408, 10.608813285827637, 24.983938217163086, 81.495361328125]",[],2036.0750724072568,1634022491539_03pcs Melamine Box Cupboards for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
106,8,82,"[89.81299591064453, 2.434899091720581, 31.841712951660156, 101.44955444335938]",[],3230.3275916592684,1634022491539_03pcs Melamine Box Cupboards for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
107,8,67,"[0.0, 77.43009948730469, 19.316505432128906, 12.026374816894531]",[],232.3075344793615,1634022491539_03pcs Melamine Box Cupboards for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
108,8,81,"[53.18474578857422, 15.134442329406738, 17.71368408203125, 2.2691259384155273]",[],40.19458001543535,1634022491539_03pcs Melamine Box Cupboards for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
109,9,33,"[85.04185485839844, 28.949758529663086, 53.97224426269531, 34.96435546875]",[],1887.1047338470817,1634021066087_TEAK BOX BED W DAMRO DL MATTRESS for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
110,9,15,"[83.25067138671875, 28.6744441986084, 58.10301208496094, 37.633323669433594]",[],2186.6094599623466,1634021066087_TEAK BOX BED W DAMRO DL MATTRESS for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
111,9,84,"[84.88370513916016, 30.76853370666504, 55.26990509033203, 31.83161735534668]",[],1759.3304701017769,1634021066087_TEAK BOX BED W DAMRO DL MATTRESS for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
112,9,33,"[42.93771743774414, 68.49345397949219, 54.08335494995117, 36.45269775390625]",[],1971.4841915077996,1634021066087_TEAK BOX BED W DAMRO DL MATTRESS for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
113,9,84,"[43.04743957519531, 67.97370147705078, 53.10132598876953, 35.88755798339844]",[],1905.676915417309,1634021066087_TEAK BOX BED W DAMRO DL MATTRESS for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
114,9,15,"[44.399749755859375, 66.60568237304688, 49.2615966796875, 38.22490692138672]",[],1883.0199478799477,1634021066087_TEAK BOX BED W DAMRO DL MATTRESS for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
115,9,65,"[41.01516342163086, 66.07585906982422, 55.845455169677734, 39.07843780517578]",[],2182.3531465499836,1634021066087_TEAK BOX BED W DAMRO DL MATTRESS for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
116,9,84,"[46.11664962768555, 8.736578941345215, 52.43657302856445, 32.32029724121094]",[],1694.7656265936675,1634021066087_TEAK BOX BED W DAMRO DL MATTRESS for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
117,9,67,"[35.045066833496094, 64.01871490478516, 65.02589416503906, 40.30542755126953]",[],2620.896466225502,1634021066087_TEAK BOX BED W DAMRO DL MATTRESS for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
118,9,65,"[1.5038946866989136, 46.287109375, 54.66195297241211, 40.40191650390625]",[],2208.447659931844,1634021066087_TEAK BOX BED W DAMRO DL MATTRESS for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
119,9,33,"[43.98368453979492, 8.71794319152832, 53.99483871459961, 32.388214111328125]",[],1748.7963971950812,1634021066087_TEAK BOX BED W DAMRO DL MATTRESS for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
120,9,33,"[1.6598739624023438, 49.56602096557617, 51.45606994628906, 34.56015396118164]",[],1778.3296995810815,1634021066087_TEAK BOX BED W DAMRO DL MATTRESS for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
121,9,82,"[42.21665954589844, 68.54627227783203, 54.64520263671875, 36.89043426513672]",[],2015.8852557749487,1634021066087_TEAK BOX BED W DAMRO DL MATTRESS for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
122,9,72,"[45.970848083496094, 7.938329696655273, 51.61487579345703, 32.356971740722656]",[],1670.101077449799,1634021066087_TEAK BOX BED W DAMRO DL MATTRESS for sale.jpg,142,107,"{'color': 'red', 'size': 'small', 'material': 'wood'}"
